Page Number,Title Number,Title Name
Page 1,Title 1,Smartproxy Temporarily Cuts Residential Proxy Prices
Page 1,Title 2,SOAX Launches Rotating ISP Proxies
Page 1,Title 3,Infantica Introduces Shared Datacenter Proxies
Page 1,Title 4,"Oxylabs Adds Self-Service, New Plans To Web Scraping Products"
Page 1,Title 5,Bright Data Launches Scraping Browser
Page 1,Title 6,"Smartproxy Launches Mobile Proxies, Social Media Scraping API"
Page 1,Title 7,Oxylabs Introduces New Plans for Entry-Level and Enterprise Clients
Page 1,Title 8,Zyte Officially Launches Zyte API
Page 1,Title 9,"IPRoyal Rebrands, Adds Features, Raises Prices"
Page 1,Title 10,SOAX Launches a Podcast on Ethical Data Collection
Page 1,Title 11,Oxylabs Launches Web Unblocker
Page 1,Title 12,Bright Data and Meta Sue One Another
Page 2,Title 1,Smartproxy Launches Pay-Per-IP Shared Datacenter Proxies
Page 2,Title 2,Ethics of Web Data: Interview with i2Coalition
Page 2,Title 3,Oxylabs Launches Its Fourth Scraping Tool: Real Estate Scraper API
Page 2,Title 4,NetNut Introduces Mobile Proxy Plans
Page 2,Title 5,End of Survey on Proxy Use + Some Stats
Page 2,Title 6,Proxy Ethicality: Interview with SOAX
Page 2,Title 7,Smartproxy Acquires SERPMaster
Page 2,Title 8,Zyte’s 2022 Extract Summit: A Recap
Page 2,Title 9,Jarvee Shuts Down
Page 2,Title 10,Oxylabs Acquires Webshare
Page 2,Title 11,The i2Coalition Launches an Initiative to Make Public Data Aggregation More Ethical
Page 2,Title 12,"Bright Data Buys a Digital Analytics Company, Announces Bright Insights"
Page 3,Title 1,OxyCon Day 2 Recap
Page 3,Title 2,OxyCon Day 1 Recap
Page 3,Title 3,Balancing Proxy Cost and Quality: Is It Worth Saving a Buck by Choosing a Cheaper Provider?
Page 3,Title 4,Zyte to Hold Its Annual Web Scraping Conference
Page 3,Title 5,Smartproxy Introduces a Pay-As-You-Go Plan
Page 3,Title 6,"911 Proxy Service Shuts Down, Users Scramble for Alternatives"
Page 3,Title 7,"Oxylabs Cuts Prices, Introduces a Pay-As-You-Go Plan"
Page 3,Title 8,Blazing SEO Rebrands and Becomes Rayobyte
Page 3,Title 9,"OxyCon, a Virtual Web Scraping Conference by Oxylabs, Returns for the Third Year"
Page 3,Title 10,Smartproxy Launches Three New Scraping Tools
Page 3,Title 11,FBI Takes Down RSocks
Page 3,Title 12,Bright Data Introduces Residential Proxy No-KYC Mode
Page 4,Title 1,Proxy Ethicality: Interview with Blazing SEO
Page 4,Title 2,Oxylabs Introduces Shared Datacenter Proxies
Page 4,Title 3,Proxy Ethicality: Interview with Bright Data
Page 4,Title 4,"Smartproxy Adds Wallet Functionality, More Datacenter Locations, Free Trial"
Page 4,Title 5,"IPRoyal’s Home-Grown Residential Pool Reaches 250,000 Monthly IPs"
Page 4,Title 6,Proxy Ethicality: Interview with Oxylabs
Page 4,Title 7,Proxy Providers Stand with Ukraine
Page 4,Title 8,Blazing SEO Raises Funds to Support Its Stranded Ukrainian Team
Page 4,Title 9,Oxylabs Goes on the Offensive against Bright Data
Page 4,Title 10,How KYC Guidelines Protect the Proxy Market
Page 4,Title 11,How to Safeguard the Proxy Industry
Page 4,Title 12,Foot Locker Is Introducing Raffle-Based Online Sneaker Releases
Page 5,Title 1,Bright Data Launches a Free VPN
Page 5,Title 2,IPRoyal Loses One of Its Residential Proxy Pools
Page 5,Title 3,On Ethical Proxy IP Acquisition and Use
Page 5,Title 4,Smartproxy Starts Offering Dedicated Datacenter Proxies
Page 5,Title 5,Blazing SEO Introduces Mobile Proxy Plans
Page 5,Title 6,"Introducing: New Team Member, Isabel"
Page 5,Title 7,Smartproxy Launches a Visual Web Scraper Browser Extension
Page 5,Title 8,Zyte to Hold a Virtual Web Scraping Conference
Page 5,Title 9,Oxylabs to Host a Virtual Web Scraping Conference
Page 5,Title 10,Oxylabs Launches a Browser Extension for Google Chrome
Page 5,Title 11,Smartproxy Launches an Anonymous Browser
Page 5,Title 12,"NetNut Launches New Proxy Types, Self-Service"
Page 6,Title 1,Oxylabs Signs an Exclusive Contract with Honeygain
Page 6,Title 2,"Luminati Rebrands, Becomes Bright Data"
Page 6,Title 3,Oxylabs to Host a Webinar on the Legality of Web Scraping
Page 6,Title 4,Smartproxy Launches Search Engine Proxies
Page 6,Title 5,"Scrapinghub Becomes Zyte, Releases a No-Code Scraping Tool"
Page 6,Title 6,Luminati Initiates a Data Collection Ethical Committee
Page 6,Title 7,NetNut to Launch a Free VPN
Page 6,Title 8,Oxylabs Releases Real-Time Crawler Browser Integration
Page 6,Title 9,Luminati Releases a New Tool for Scraping Search Engines
Page 6,Title 10,"Smartproxy Adds US States, Increases Rotation Time"
Page 6,Title 11,Introducing: Proxyway News Feed!
Page 6,Title 1,Oxylabs Signs an Exclusive Contract with Honeygain
Page 6,Title 2,"Luminati Rebrands, Becomes Bright Data"
Page 6,Title 3,Oxylabs to Host a Webinar on the Legality of Web Scraping
Page 6,Title 4,Smartproxy Launches Search Engine Proxies
Page 6,Title 5,"Scrapinghub Becomes Zyte, Releases a No-Code Scraping Tool"
Page 6,Title 6,Luminati Initiates a Data Collection Ethical Committee
Page 6,Title 7,NetNut to Launch a Free VPN
Page 6,Title 8,Oxylabs Releases Real-Time Crawler Browser Integration
Page 6,Title 9,Luminati Releases a New Tool for Scraping Search Engines
Page 6,Title 10,"Smartproxy Adds US States, Increases Rotation Time"
Page 6,Title 11,Introducing: Proxyway News Feed!
